image_size,grayscale,C,score
16,True,None,0.6377289075906815
16,True,0.125,0.7017384047579869
16,True,0.25,0.7230882249230117
16,True,0.5,0.7264815816074661
16,True,1.0,0.7289028891135193
16,True,1.5,0.7259879169703096
16,False,None,0.678471520252004
16,False,0.125,0.7390864853428618
16,False,0.25,0.7444215896001317
16,False,0.5,0.7444157126401655
16,False,1.0,0.7356813747384752
16,False,1.5,0.7332659441923881
32,True,None,0.7269611415407038
32,True,0.125,0.7531441735818896
32,True,0.25,0.7555678318719293
32,True,0.5,0.7579950163379487
32,True,1.0,0.7550823949787254
32,True,1.5,0.7526575612966925
32,False,None,0.7463633371729472
32,False,0.125,0.7686652248524882
32,False,0.25,0.7720621077129222
32,False,0.5,0.7735137168245609
32,False,1.0,0.771574320035732
32,False,1.5,0.7706057970333106
64,True,None,0.7371482639460261
64,True,0.125,0.7662345142104892
64,True,0.25,0.7604127976680223
64,True,0.5,0.7560485671971603
64,True,1.0,0.751683161334305
64,True,1.5,0.7516843367262982
64,False,None,0.7570206163755613
64,False,0.125,0.7773854580502598
64,False,0.25,0.7739968029337785
64,False,0.5,0.774000329109758
64,False,1.0,0.7720597569289358
64,False,1.5,0.7715743200357319
