C,gamma,score
0.125,0.0001,0.1682503114788782
0.125,0.001,0.18182726439267496
0.125,0.01,0.6406238980700064
0.125,0.1,0.13965537506758502
0.125,1,0.10087214085897647
0.25,0.0001,0.1682503114788782
0.25,0.001,0.4141575965584522
0.25,0.01,0.7317873010649052
0.25,0.1,0.13965537506758502
0.25,1,0.10087214085897647
0.5,0.0001,0.1682503114788782
0.5,0.001,0.6091034109875643
0.5,0.01,0.7875725804555819
0.5,0.1,0.14353416864524318
0.5,1,0.10087214085897647
1.0,0.0001,0.16921883448129948
1.0,0.001,0.7002679893744566
1.0,0.01,0.8229753872916618
1.0,0.1,0.6343343755142341
1.0,1,0.1023272761465949
1.5,0.0001,0.25847105009520677
1.5,0.001,0.7317943534168645
1.5,0.01,0.8457709396083594
1.5,0.1,0.6517948235736618
1.5,1,0.10571945743905593
